,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
1647,1_14_21_9_8,Córdoba,Córdoba,Andalucía,1988173.28,1625.0,0.54,0.46,0.21,0.67,0.12,0.06,0.68,0.06,0.21,817.3,22280.0,0.7,0.3,630.0,0.99
1648,1_14_21_9_9,Córdoba,Córdoba,Andalucía,327902.39,1325.0,0.45,0.55,0.25,0.65,0.11,0.08,0.53,0.15,0.25,4040.8,24096.0,1.0,0.0,505.0,0.9
1649,1_14_21_9_10,Córdoba,Córdoba,Andalucía,74788.84,2690.0,0.49,0.51,0.24,0.68,0.08,0.05,0.66,0.05,0.24,35967.9,18544.0,1.0,0.01,1070.0,0.9
1650,1_14_21_9_11,Córdoba,Córdoba,Andalucía,73300.29,2475.0,0.55,0.45,0.22,0.73,0.05,0.04,0.66,0.08,0.22,33765.2,21783.0,1.0,0.0,955.0,0.88
1651,1_41_91_4_24,Sevilla,Sevilla,Andalucía,133508.54,1560.0,0.45,0.55,0.15,0.5,0.35,0.15,0.59,0.11,0.15,11684.6,25351.0,0.88,0.12,990.0,0.74
1652,1_14_21_9_12,Córdoba,Córdoba,Andalucía,79844.63,685.0,0.53,0.47,0.31,0.52,0.17,0.18,0.48,0.01,0.31,8579.2,11675.0,0.97,0.03,625.0,0.39
1653,1_14_21_9_13,Córdoba,Córdoba,Andalucía,130299.67,1590.0,0.53,0.47,0.15,0.69,0.16,0.12,0.63,0.1,0.15,12202.6,26457.0,0.94,0.06,660.0,0.86
1654,1_14_21_9_14,Córdoba,Córdoba,Andalucía,40410.87,700.0,0.48,0.52,0.13,0.67,0.2,0.2,0.63,0.04,0.13,17322.1,13963.0,0.97,0.02,675.0,0.42
1655,1_14_21_9_15,Córdoba,Córdoba,Andalucía,64113.53,895.0,0.52,0.48,0.1,0.55,0.34,0.2,0.63,0.08,0.1,13959.6,23980.0,1.0,0.0,420.0,0.87
1656,1_14_21_9_16,Córdoba,Córdoba,Andalucía,125440.48,1285.0,0.52,0.48,0.14,0.65,0.21,0.3,0.51,0.05,0.14,10243.9,23562.0,1.0,0.0,515.0,0.97
1657,1_14_21_9_17,Córdoba,Córdoba,Andalucía,146979.86,1420.0,0.49,0.51,0.13,0.7,0.17,0.18,0.64,0.05,0.13,9661.2,20282.0,1.0,0.0,705.0,0.8
1658,1_14_21_9_18,Córdoba,Córdoba,Andalucía,84878.54,1365.0,0.41,0.59,0.16,0.62,0.22,0.25,0.57,0.01,0.16,16081.8,15968.0,1.0,0.0,730.0,0.82
1659,1_14_21_9_21,Córdoba,Córdoba,Andalucía,231930.5,1150.0,0.43,0.57,0.19,0.61,0.2,0.21,0.58,0.02,0.19,4958.4,16601.0,1.0,0.0,545.0,0.83
1660,1_14_21_9_22,Córdoba,Córdoba,Andalucía,30156.54,755.0,0.58,0.41,0.14,0.69,0.17,0.13,0.74,0.0,0.14,25036.0,12293.0,1.0,0.0,385.0,0.82
1661,1_14_21_9_23,Córdoba,Córdoba,Andalucía,228960.57,1805.0,0.52,0.48,0.16,0.6,0.25,0.13,0.63,0.09,0.16,7883.5,23304.0,1.0,0.0,860.0,0.87
1662,1_14_21_9_24,Córdoba,Córdoba,Andalucía,61501.27,2055.0,0.48,0.52,0.12,0.63,0.26,0.11,0.67,0.1,0.12,33413.9,21143.0,0.94,0.06,905.0,0.88
1663,1_14_21_9_25,Córdoba,Córdoba,Andalucía,55567.82,1350.0,0.51,0.49,0.12,0.73,0.15,0.13,0.61,0.15,0.12,24294.6,21980.0,1.0,0.0,550.0,0.92
1664,1_14_21_9_28,Córdoba,Córdoba,Andalucía,25507.86,625.0,0.44,0.56,0.12,0.67,0.21,0.13,0.73,0.02,0.12,24502.3,17770.0,0.95,0.05,305.0,0.85
1665,1_14_21_9_29,Córdoba,Córdoba,Andalucía,33114.54,1065.0,0.5,0.5,0.07,0.68,0.25,0.34,0.56,0.03,0.07,32161.1,15893.0,0.64,0.36,605.0,0.79
1666,1_14_21_9_30,Córdoba,Córdoba,Andalucía,51649.19,945.0,0.49,0.51,0.11,0.58,0.31,0.25,0.57,0.07,0.11,18296.5,14473.0,0.98,0.02,590.0,0.75
1667,1_14_21_9_31,Córdoba,Córdoba,Andalucía,27404.39,800.0,0.48,0.52,0.26,0.57,0.17,0.14,0.59,0.01,0.26,29192.4,15148.0,1.0,0.0,420.0,0.76
1668,1_14_21_9_32,Córdoba,Córdoba,Andalucía,108306.03,1020.0,0.48,0.52,0.17,0.66,0.17,0.16,0.68,0.0,0.17,9417.8,16021.0,1.0,0.0,370.0,1.0
1669,1_14_21_9_33,Córdoba,Córdoba,Andalucía,68803.76,1800.0,0.52,0.47,0.18,0.59,0.22,0.13,0.63,0.05,0.18,26161.4,19835.0,0.99,0.01,735.0,1.0
1670,1_41_91_4_25,Sevilla,Sevilla,Andalucía,61264.93,1115.0,0.48,0.52,0.13,0.58,0.29,0.04,0.7,0.13,0.13,18199.6,21100.0,0.97,0.03,635.0,0.71
1671,1_14_21_9_35,Córdoba,Córdoba,Andalucía,2125974.7,415.0,0.47,0.53,0.28,0.61,0.11,0.18,0.52,0.02,0.28,195.2,22411.0,0.9,0.1,295.0,0.53
1672,1_14_21_9_36,Córdoba,Córdoba,Andalucía,87863.72,1655.0,0.47,0.53,0.27,0.64,0.09,0.1,0.56,0.07,0.27,18836.0,17507.0,1.0,0.0,630.0,0.94
1673,1_14_21_10_1,Córdoba,Córdoba,Andalucía,166066.99,1480.0,0.44,0.56,0.14,0.62,0.24,0.01,0.43,0.42,0.14,8912.1,44517.0,0.97,0.02,775.0,0.79
1674,1_14_21_10_2,Córdoba,Córdoba,Andalucía,79385.31,1435.0,0.53,0.47,0.13,0.72,0.15,0.09,0.41,0.37,0.13,18076.4,43672.0,0.86,0.14,480.0,1.0
1675,1_14_21_10_3,Córdoba,Córdoba,Andalucía,80575.81,905.0,0.47,0.54,0.18,0.61,0.22,0.04,0.3,0.49,0.18,11231.7,38337.0,1.0,0.0,455.0,0.93
1676,1_14_21_10_4,Córdoba,Córdoba,Andalucía,16998.83,800.0,0.41,0.6,0.16,0.65,0.19,0.04,0.57,0.24,0.16,47062.1,25064.0,0.9,0.11,520.0,0.76
1677,1_14_21_10_5,Córdoba,Córdoba,Andalucía,34215.63,1180.0,0.36,0.64,0.04,0.64,0.32,0.06,0.36,0.53,0.04,34487.2,29549.0,0.94,0.06,755.0,0.72
1678,1_14_21_10_6,Córdoba,Córdoba,Andalucía,34926.64,1750.0,0.4,0.6,0.17,0.63,0.21,0.06,0.35,0.43,0.17,50105.0,33604.0,0.98,0.02,710.0,0.87
1679,1_14_21_10_9,Córdoba,Córdoba,Andalucía,47319.95,2315.0,0.44,0.56,0.1,0.6,0.3,0.06,0.51,0.33,0.1,48922.3,33807.0,0.95,0.05,1110.0,0.96
1680,1_14_21_10_10,Córdoba,Córdoba,Andalucía,41320.87,1575.0,0.43,0.57,0.11,0.6,0.28,0.09,0.51,0.28,0.11,38116.3,27268.0,0.99,0.01,865.0,0.72
1681,1_14_21_10_11,Córdoba,Córdoba,Andalucía,13547.41,855.0,0.56,0.44,0.08,0.69,0.23,0.06,0.72,0.14,0.08,63111.7,17620.0,0.89,0.11,570.0,0.66
1682,1_14_21_10_12,Córdoba,Córdoba,Andalucía,22641.22,800.0,0.51,0.49,0.12,0.66,0.21,0.04,0.64,0.2,0.12,35333.8,25371.0,0.98,0.02,660.0,0.46
1683,1_14_21_10_13,Córdoba,Córdoba,Andalucía,15680.08,710.0,0.39,0.61,0.08,0.82,0.11,0.06,0.43,0.42,0.08,45280.4,21235.0,1.0,0.0,650.0,0.58
1684,1_14_21_10_14,Córdoba,Córdoba,Andalucía,20818.2,940.0,0.4,0.6,0.21,0.64,0.14,0.06,0.56,0.17,0.21,45152.8,23076.0,0.87,0.13,685.0,0.61
1685,1_14_21_10_15,Córdoba,Córdoba,Andalucía,19968.89,1095.0,0.41,0.59,0.05,0.8,0.15,0.05,0.72,0.17,0.05,54835.3,20341.0,0.95,0.05,800.0,0.57
1686,1_14_21_10_16,Córdoba,Córdoba,Andalucía,108462.74,1380.0,0.42,0.58,0.09,0.66,0.25,0.03,0.39,0.5,0.09,12723.3,48053.0,1.0,0.0,670.0,0.76
1687,1_14_21_10_17,Córdoba,Córdoba,Andalucía,473391.29,1170.0,0.47,0.53,0.18,0.71,0.11,0.02,0.62,0.18,0.18,2471.5,21843.0,0.89,0.11,720.0,0.6
1688,1_14_21_10_18,Córdoba,Córdoba,Andalucía,95493.89,845.0,0.45,0.55,0.14,0.49,0.37,0.14,0.56,0.16,0.14,8848.7,24748.0,1.0,0.0,560.0,0.67
1689,1_14_21_10_23,Córdoba,Córdoba,Andalucía,137961.65,2630.0,0.41,0.59,0.23,0.62,0.15,0.1,0.39,0.28,0.23,19063.3,30909.0,0.99,0.01,1090.0,0.86
1690,1_14_21_10_19,Córdoba,Córdoba,Andalucía,230438.02,2510.0,0.48,0.52,0.29,0.64,0.08,0.06,0.38,0.27,0.29,10892.3,35635.0,0.99,0.01,875.0,0.91
1691,1_14_21_10_20,Córdoba,Córdoba,Andalucía,305247.53,2170.0,0.46,0.54,0.23,0.69,0.07,0.07,0.63,0.07,0.23,7109.0,25379.0,0.97,0.03,870.0,0.86
1692,1_14_21_10_21,Córdoba,Córdoba,Andalucía,18286.84,820.0,0.49,0.51,0.05,0.73,0.23,0.07,0.69,0.19,0.05,44841.0,22909.0,0.87,0.13,545.0,0.72
1693,1_14_21_10_22,Córdoba,Córdoba,Andalucía,4690119.63,1105.0,0.5,0.5,0.13,0.6,0.27,0.1,0.42,0.35,0.13,235.6,30110.0,0.96,0.04,620.0,0.81
1694,1_41_91_4_26,Sevilla,Sevilla,Andalucía,42108.94,1365.0,0.53,0.47,0.17,0.68,0.15,0.06,0.67,0.1,0.17,32415.9,21137.0,0.99,0.01,575.0,0.87
1695,1_14_21_10_24,Córdoba,Córdoba,Andalucía,3986886.44,1785.0,0.51,0.49,0.34,0.58,0.09,0.06,0.42,0.19,0.34,447.7,32318.0,0.95,0.05,605.0,0.88
1696,1_14_21_10_25,Córdoba,Córdoba,Andalucía,160021.56,1955.0,0.41,0.59,0.16,0.65,0.19,0.06,0.43,0.35,0.16,12217.1,44270.0,1.0,0.0,765.0,0.88
1697,1_14_21_10_26,Córdoba,Córdoba,Andalucía,50190.47,1435.0,0.52,0.48,0.05,0.73,0.22,0.1,0.64,0.21,0.05,28591.1,27320.0,1.0,0.0,555.0,1.0
1698,1_14_21_10_27,Córdoba,Córdoba,Andalucía,6516926.82,1625.0,0.46,0.53,0.27,0.58,0.15,0.15,0.54,0.05,0.27,249.4,24028.0,1.0,0.0,825.0,0.68
1699,1_14_21_10_28,Córdoba,Córdoba,Andalucía,4707728.22,720.0,0.61,0.4,0.14,0.74,0.12,,,,,152.9,22615.0,1.0,0.0,1790.0,0.17
1700,1_14_21_10_29,Córdoba,Córdoba,Andalucía,66386.65,805.0,0.44,0.57,0.14,0.67,0.19,0.06,0.55,0.25,0.14,12125.9,35786.0,1.0,0.0,370.0,0.8
1701,1_14_38_1_5,Lucena,Córdoba,Andalucía,43609.9,1115.0,0.45,0.55,0.12,0.6,0.28,0.09,0.56,0.22,0.12,25567.6,25414.0,1.0,0.0,540.0,0.74
1702,1_14_21_10_30,Córdoba,Córdoba,Andalucía,3376496.51,2305.0,0.51,0.49,0.25,0.64,0.12,0.14,0.52,0.1,0.25,682.7,20818.0,1.0,0.0,900.0,0.85
1703,1_14_21_10_31,Córdoba,Córdoba,Andalucía,19895.33,855.0,0.45,0.55,0.08,0.59,0.33,0.08,0.57,0.26,0.08,42974.9,27194.0,0.98,0.01,495.0,0.79
1704,1_14_21_10_32,Córdoba,Córdoba,Andalucía,34772.71,1055.0,0.55,0.45,0.05,0.64,0.31,0.06,0.59,0.3,0.05,30339.9,29899.0,0.91,0.09,695.0,0.68
1705,1_14_21_10_33,Córdoba,Córdoba,Andalucía,65584.44,1365.0,0.51,0.48,0.08,0.85,0.06,0.03,0.38,0.51,0.08,20812.9,42145.0,0.99,0.01,570.0,0.88
1706,1_14_21_10_34,Córdoba,Córdoba,Andalucía,190331.34,1210.0,0.56,0.43,0.18,0.77,0.05,0.02,0.62,0.18,0.18,6357.3,33392.0,0.99,0.01,485.0,0.85
1707,1_14_21_10_35,Córdoba,Córdoba,Andalucía,87268.67,845.0,0.55,0.45,0.2,0.8,0.0,0.0,0.53,0.27,0.2,9682.7,39952.0,1.0,0.0,245.0,0.94
1708,1_14_21_10_36,Córdoba,Córdoba,Andalucía,68417.39,1275.0,0.42,0.58,0.14,0.8,0.05,0.05,0.39,0.42,0.14,18635.6,40813.0,0.98,0.02,550.0,0.87
1709,1_14_21_10_37,Córdoba,Córdoba,Andalucía,69105.83,1485.0,0.49,0.51,0.15,0.66,0.19,0.1,0.7,0.05,0.15,21488.8,22866.0,1.0,0.0,580.0,0.97
1710,1_14_21_10_38,Córdoba,Córdoba,Andalucía,80948.32,1430.0,0.51,0.49,0.21,0.68,0.11,0.02,0.41,0.36,0.21,17665.6,45220.0,1.0,0.0,550.0,0.95
1711,1_14_21_10_39,Córdoba,Córdoba,Andalucía,934609.07,1180.0,0.5,0.5,0.18,0.69,0.13,0.21,0.6,0.01,0.18,1262.6,18688.0,1.0,0.0,410.0,0.89
1712,1_14_21_10_40,Córdoba,Córdoba,Andalucía,1178681.19,1125.0,0.46,0.54,0.2,0.74,0.06,0.18,0.39,0.23,0.2,954.5,28561.0,1.0,0.0,460.0,0.82
1713,1_14_38_1_6,Lucena,Córdoba,Andalucía,36886.11,850.0,0.49,0.51,0.17,0.7,0.13,0.15,0.64,0.04,0.17,23043.9,19532.0,0.95,0.05,500.0,0.66
1714,1_14_21_10_41,Córdoba,Córdoba,Andalucía,2931900.03,485.0,0.61,0.39,,1.0,,,,,,165.4,18806.0,0.64,0.36,650.0,0.35
1715,1_14_21_10_42,Córdoba,Córdoba,Andalucía,68210.75,1770.0,0.51,0.49,0.2,0.69,0.11,0.06,0.43,0.31,0.2,25949.0,47530.0,0.98,0.02,615.0,0.92
1716,1_14_21_10_43,Córdoba,Córdoba,Andalucía,3238901.5,680.0,,0.56,,,,,,,,209.9,25308.0,1.0,,920.0,
1717,1_14_21_10_44,Córdoba,Córdoba,Andalucía,3306716.57,515.0,0.61,0.39,0.13,0.75,0.13,,0.56,,,155.7,22038.0,1.0,0.0,755.0,0.21
1718,1_14_21_10_45,Córdoba,Córdoba,Andalucía,6521825.68,140.0,,,,,,,,,,21.5,20788.0,1.0,,325.0,
1719,1_14_21_10_46,Córdoba,Córdoba,Andalucía,473010.64,845.0,0.51,0.5,0.21,0.7,0.09,0.14,0.56,0.09,0.21,1786.4,22642.0,1.0,0.0,450.0,0.78
1720,1_14_38_2_1,Lucena,Córdoba,Andalucía,40678.24,1025.0,0.51,0.49,0.04,0.66,0.3,0.19,0.61,0.16,0.04,25197.7,22322.0,1.0,0.0,545.0,0.75
1721,1_21_41_5_13,Huelva,Huelva,Andalucía,30934.84,1320.0,0.53,0.47,0.11,0.72,0.17,0.03,0.73,0.13,0.11,42670.3,23225.0,0.98,0.02,690.0,0.8
1722,1_14_22_1_1,Doña Mencía,Córdoba,Andalucía,14886963.03,1940.0,0.49,0.51,0.19,0.6,0.21,0.16,0.55,0.1,0.19,130.3,22883.0,0.98,0.02,860.0,0.8
1723,1_14_22_1_2,Doña Mencía,Córdoba,Andalucía,87537.93,1310.0,0.49,0.52,0.11,0.73,0.16,0.19,0.65,0.06,0.11,14964.9,21212.0,1.0,0.0,545.0,0.81
1724,1_41_91_4_27,Sevilla,Sevilla,Andalucía,16977.18,995.0,0.6,0.4,0.31,0.51,0.19,0.16,0.52,0.02,0.31,58608.1,11808.0,0.89,0.11,440.0,0.83
1725,1_14_22_2_1,Doña Mencía,Córdoba,Andalucía,106276.05,915.0,0.5,0.5,0.22,0.55,0.23,0.2,0.54,0.04,0.22,8609.7,21032.0,1.0,0.0,455.0,0.76
1726,1_14_22_2_2,Doña Mencía,Córdoba,Andalucía,109416.31,800.0,0.5,0.49,0.17,0.52,0.31,0.3,0.51,0.01,0.17,7311.5,18388.0,0.99,0.01,390.0,0.82
1727,1_14_23_1_1,Dos Torres,Córdoba,Andalucía,17153272.75,535.0,0.46,0.55,0.16,0.59,0.25,0.16,0.61,0.08,0.16,31.2,21129.0,1.0,0.0,335.0,0.6
1728,1_14_37_1_2,Iznájar,Córdoba,Andalucía,287162.67,1490.0,0.47,0.53,0.15,0.59,0.26,0.26,0.52,0.07,0.15,5188.7,20207.0,1.0,0.0,895.0,0.66
1729,1_14_23_2_1,Dos Torres,Córdoba,Andalucía,6287008.24,1175.0,0.49,0.51,0.13,0.64,0.23,0.21,0.59,0.06,0.13,186.9,15295.0,0.98,0.02,770.0,0.59
1730,1_14_23_3_1,Dos Torres,Córdoba,Andalucía,105629750.91,795.0,0.53,0.47,0.18,0.65,0.16,0.18,0.55,0.09,0.18,7.5,,0.97,0.03,545.0,0.57
1731,1_14_24_1_1,Encinas Reales,Córdoba,Andalucía,9505209.99,1475.0,0.49,0.51,0.16,0.67,0.17,0.2,0.59,0.06,0.16,155.2,19284.0,0.96,0.04,755.0,0.7
1732,1_14_37_2_1,Iznájar,Córdoba,Andalucía,54029788.66,1010.0,0.51,0.49,0.11,0.62,0.27,0.38,0.47,0.04,0.11,18.7,17566.0,0.91,0.09,770.0,0.56
1733,1_14_37_3_1,Iznájar,Córdoba,Andalucía,81600046.97,1250.0,0.54,0.46,0.13,0.59,0.28,0.34,0.49,0.04,0.13,15.3,17320.0,0.91,0.09,880.0,0.55
1734,1_14_38_2_10,Lucena,Córdoba,Andalucía,113233.02,1660.0,0.55,0.45,0.29,0.65,0.05,0.07,0.64,0.0,0.29,14660.0,20305.0,0.98,0.02,665.0,0.83
1735,1_14_24_2_1,Encinas Reales,Córdoba,Andalucía,24630745.58,895.0,0.51,0.49,0.2,0.61,0.2,0.26,0.5,0.04,0.2,36.3,16553.0,0.98,0.03,535.0,0.7
1736,1_14_30_1_1,Fuente Palmera,Córdoba,Andalucía,7428096.95,2790.0,0.53,0.47,0.18,0.75,0.07,0.21,0.5,0.11,0.18,375.6,21681.0,0.87,0.13,1385.0,0.71
1737,1_14_39_1_1,Luque,Córdoba,Andalucía,140084511.15,1095.0,0.47,0.53,0.18,0.64,0.18,0.23,0.5,0.09,0.18,7.8,18936.0,0.97,0.03,620.0,0.68
1738,1_14_25_1_1,Espejo,Córdoba,Andalucía,19728701.5,1255.0,0.51,0.49,0.12,0.63,0.24,0.27,0.52,0.09,0.12,63.6,21407.0,0.99,0.01,585.0,0.77
1739,1_14_25_2_1,Espejo,Córdoba,Andalucía,128454.81,965.0,0.51,0.49,0.15,0.55,0.3,0.3,0.46,0.1,0.15,7512.4,25116.0,1.0,0.0,630.0,0.6
1740,1_14_30_2_1,Fuente Palmera,Córdoba,Andalucía,14742320.35,1570.0,0.51,0.49,0.17,0.62,0.21,0.28,0.5,0.05,0.17,106.5,18287.0,1.0,0.0,765.0,0.8
1741,1_14_25_3_1,Espejo,Córdoba,Andalucía,36186446.02,1350.0,0.5,0.5,0.08,0.69,0.24,0.28,0.54,0.11,0.08,37.3,20553.0,0.99,0.01,790.0,0.62
1742,1_14_26_1_1,Espiel,Córdoba,Andalucía,322290.42,1060.0,0.52,0.48,0.15,0.67,0.18,0.14,0.66,0.06,0.15,3289.0,23844.0,0.92,0.08,515.0,0.78
1743,1_14_26_2_1,Espiel,Córdoba,Andalucía,436588549.94,490.0,0.49,0.51,0.14,0.67,0.18,0.27,0.5,0.09,0.14,1.1,22670.0,0.99,0.01,800.0,0.25
1744,1_14_26_3_1,Espiel,Córdoba,Andalucía,355083.51,805.0,0.52,0.48,0.15,0.71,0.14,0.19,0.58,0.09,0.15,2267.1,24125.0,0.98,0.02,380.0,0.72
1745,1_14_27_1_1,Fernán-Núñez,Córdoba,Andalucía,4749149.06,1110.0,0.5,0.5,0.14,0.61,0.25,0.27,0.48,0.1,0.14,233.7,20948.0,0.99,0.01,680.0,0.6
1746,1_14_27_1_2,Fernán-Núñez,Córdoba,Andalucía,73885.5,1155.0,0.53,0.47,0.19,0.68,0.13,0.14,0.48,0.17,0.19,15632.3,24044.0,0.97,0.03,570.0,0.63
1747,1_14_27_1_3,Fernán-Núñez,Córdoba,Andalucía,74794.27,1000.0,0.52,0.48,0.22,0.66,0.12,0.09,0.56,0.12,0.22,13370.0,22748.0,0.98,0.02,435.0,0.77
1748,1_14_27_1_4,Fernán-Núñez,Córdoba,Andalucía,209691.77,1205.0,0.45,0.55,0.19,0.72,0.09,0.15,0.55,0.11,0.19,5746.5,23641.0,1.0,0.0,535.0,0.79
1749,1_14_27_2_1,Fernán-Núñez,Córdoba,Andalucía,133638.55,1750.0,0.49,0.51,0.13,0.65,0.22,0.19,0.56,0.12,0.13,13095.0,26856.0,1.0,0.0,710.0,0.84
1750,1_14_38_1_1,Lucena,Córdoba,Andalucía,68998.01,1290.0,0.5,0.5,0.18,0.59,0.23,0.14,0.49,0.19,0.18,18696.2,28986.0,0.97,0.03,670.0,0.74
1751,1_14_40_2_1,Montalbán de Córdoba,Córdoba,Andalucía,119818.55,1235.0,0.53,0.47,0.16,0.61,0.23,0.2,0.56,0.08,0.16,10307.3,21634.0,1.0,0.0,580.0,0.81
1752,1_14_27_2_2,Fernán-Núñez,Córdoba,Andalucía,9433675.62,1590.0,0.52,0.48,0.15,0.74,0.12,0.16,0.59,0.09,0.15,168.5,21399.0,1.0,0.0,805.0,0.71
1753,1_14_27_3_1,Fernán-Núñez,Córdoba,Andalucía,15020636.79,1015.0,0.5,0.5,0.19,0.56,0.25,0.23,0.51,0.06,0.19,67.6,19388.0,0.98,0.02,705.0,0.59
1754,1_14_27_3_2,Fernán-Núñez,Córdoba,Andalucía,81555.24,975.0,0.53,0.48,0.13,0.63,0.24,0.35,0.49,0.03,0.13,11955.1,19072.0,1.0,0.0,435.0,0.8
1755,1_14_52_1_4,Peñarroya-Pueblonuevo,Córdoba,Andalucía,199953.66,975.0,0.49,0.51,0.13,0.73,0.14,0.1,0.61,0.16,0.13,4876.1,31813.0,0.99,0.01,430.0,0.79
1756,1_14_28_1_1,Fuente la Lancha,Córdoba,Andalucía,7830446.4,370.0,0.51,0.49,0.11,0.64,0.26,0.18,0.66,0.05,0.11,47.3,16431.0,1.0,0.0,270.0,0.7
1757,1_14_30_1_2,Fuente Palmera,Córdoba,Andalucía,9797519.25,1640.0,0.52,0.48,0.17,0.64,0.19,0.2,0.54,0.08,0.17,167.4,20375.0,0.95,0.05,730.0,0.86
1758,1_14_32_1_1,"Granjuela, La",Córdoba,Andalucía,56160481.97,510.0,0.51,0.49,0.13,0.63,0.25,0.26,0.59,0.03,0.13,9.1,20160.0,0.99,0.01,265.0,0.72
1759,1_14_29_1_1,Fuente Obejuna,Córdoba,Andalucía,106106623.13,1525.0,0.48,0.52,0.12,0.71,0.17,0.12,0.69,0.07,0.12,14.4,18831.0,0.99,0.01,735.0,0.7
1760,1_14_35_3_1,Hinojosa del Duque,Córdoba,Andalucía,165884.11,1485.0,0.5,0.5,0.15,0.59,0.26,0.26,0.51,0.08,0.15,8952.0,23183.0,0.87,0.13,915.0,0.52
1761,1_14_35_3_2,Hinojosa del Duque,Córdoba,Andalucía,604764.4,845.0,0.5,0.5,0.22,0.62,0.16,0.18,0.54,0.05,0.22,1397.2,18988.0,1.0,0.0,565.0,0.52
1762,1_14_29_2_1,Fuente Obejuna,Córdoba,Andalucía,62901952.09,1245.0,0.51,0.49,0.11,0.65,0.23,0.09,0.66,0.14,0.11,19.8,21284.0,1.0,0.0,745.0,0.65
1763,1_14_29_3_1,Fuente Obejuna,Córdoba,Andalucía,237547133.98,1155.0,0.5,0.5,0.09,0.63,0.28,0.23,0.64,0.03,0.09,4.9,16724.0,0.97,0.03,795.0,0.53
1764,1_14_29_4_1,Fuente Obejuna,Córdoba,Andalucía,185049980.8,1170.0,0.58,0.42,0.12,0.59,0.29,0.24,0.57,0.06,0.12,6.3,17861.0,1.0,0.0,1150.0,0.37
1765,1_14_38_1_2,Lucena,Córdoba,Andalucía,56182.81,1145.0,0.52,0.48,0.08,0.67,0.25,0.22,0.5,0.2,0.08,20379.9,21593.0,0.95,0.06,740.0,0.61
1766,1_14_30_1_3,Fuente Palmera,Córdoba,Andalucía,19649220.95,570.0,0.49,0.51,0.09,0.68,0.24,0.34,0.54,0.03,0.09,29.0,17392.0,1.0,0.0,340.0,0.72
1767,1_14_30_1_4,Fuente Palmera,Córdoba,Andalucía,13938907.69,1230.0,0.48,0.52,0.16,0.64,0.2,0.32,0.48,0.04,0.16,88.2,18243.0,1.0,0.0,560.0,0.83
1768,1_14_30_1_5,Fuente Palmera,Córdoba,Andalucía,161918.16,1775.0,0.52,0.48,0.22,0.69,0.09,0.12,0.64,0.03,0.22,10962.3,19747.0,1.0,0.0,745.0,0.86
1769,1_14_49_3_1,Palma del Río,Córdoba,Andalucía,129991.78,2300.0,0.45,0.55,0.16,0.78,0.06,0.06,0.57,0.21,0.16,17693.4,25109.0,0.98,0.02,925.0,0.88
1770,1_14_30_2_2,Fuente Palmera,Córdoba,Andalucía,9013186.32,1400.0,0.44,0.56,0.1,0.7,0.2,0.35,0.53,0.01,0.1,155.3,18657.0,1.0,0.0,680.0,0.79
1771,1_14_35_3_3,Hinojosa del Duque,Córdoba,Andalucía,368930.88,1345.0,0.53,0.47,0.14,0.72,0.14,0.17,0.59,0.1,0.14,3645.7,19620.0,0.97,0.03,775.0,0.66
1772,1_14_38_1_3,Lucena,Córdoba,Andalucía,95431.45,2615.0,0.47,0.53,0.16,0.65,0.19,0.21,0.56,0.07,0.16,27401.9,19377.0,0.92,0.08,1240.0,0.76
1773,1_14_38_1_4,Lucena,Córdoba,Andalucía,159522.2,1940.0,0.47,0.53,0.24,0.72,0.04,0.09,0.57,0.11,0.24,12161.3,19818.0,0.97,0.03,935.0,0.75
1774,1_14_31_1_1,Fuente-Tójar,Córdoba,Andalucía,23651210.49,750.0,0.48,0.52,0.13,0.6,0.27,0.24,0.55,0.08,0.13,31.7,18354.0,0.99,0.01,485.0,0.68
1775,1_14_36_1_2,Hornachuelos,Córdoba,Andalucía,151789153.72,1360.0,0.5,0.5,0.21,0.67,0.12,0.25,0.5,0.04,0.21,9.0,19112.0,1.0,0.0,715.0,0.66
1776,1_14_36_2_1,Hornachuelos,Córdoba,Andalucía,317525.99,815.0,0.47,0.53,0.12,0.66,0.23,0.27,0.56,0.05,0.12,2566.7,19443.0,1.0,0.0,425.0,0.85
1777,1_14_36_2_2,Hornachuelos,Córdoba,Andalucía,756696262.8,1570.0,0.52,0.48,0.19,0.65,0.16,0.18,0.57,0.07,0.19,2.1,20313.0,1.0,0.0,910.0,0.64
1778,1_14_33_1_1,Guadalcázar,Córdoba,Andalucía,71905604.43,1605.0,0.5,0.5,0.17,0.7,0.13,0.1,0.62,0.11,0.17,22.3,20780.0,1.0,0.0,790.0,0.73
1779,1_14_37_1_1,Iznájar,Córdoba,Andalucía,376314.68,835.0,0.49,0.51,0.19,0.63,0.18,0.22,0.58,0.02,0.19,2218.9,17923.0,0.97,0.02,450.0,0.64
1780,1_14_34_1_1,"Guijo, El",Córdoba,Andalucía,67264305.88,400.0,0.52,0.49,0.1,0.57,0.32,0.32,0.5,0.08,0.1,5.9,20117.0,1.0,0.0,315.0,0.49
