,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
5085,1_41_58_1_2,Mairena del Alcor,Sevilla,Andalucía,59182.2,815.0,0.53,0.47,0.15,0.61,0.25,0.28,0.4,0.17,0.15,13771.0,,0.98,0.02,385.0,0.7
5086,1_41_91_3_22,Sevilla,Sevilla,Andalucía,84726.09,1185.0,0.46,0.54,0.1,0.61,0.29,0.09,0.7,0.1,0.1,13986.2,25646.0,1.0,0.0,640.0,0.78
5087,1_41_58_1_3,Mairena del Alcor,Sevilla,Andalucía,703801.41,2200.0,0.47,0.53,0.3,0.67,0.03,0.07,0.52,0.12,0.3,3125.9,24863.0,0.99,0.01,845.0,0.79
5088,1_41_58_2_1,Mairena del Alcor,Sevilla,Andalucía,133173.53,1620.0,0.46,0.54,0.05,0.62,0.34,0.25,0.62,0.09,0.05,12164.6,24173.0,0.99,0.01,785.0,0.73
5089,1_41_58_2_2,Mairena del Alcor,Sevilla,Andalucía,115478.35,1420.0,0.53,0.46,0.19,0.68,0.13,0.17,0.59,0.06,0.19,12296.7,23381.0,0.96,0.04,550.0,0.89
5090,1_41_58_2_3,Mairena del Alcor,Sevilla,Andalucía,211878.98,2790.0,0.52,0.48,0.18,0.67,0.14,0.13,0.58,0.11,0.18,13167.9,22772.0,0.99,0.01,1055.0,0.9
5091,1_41_58_2_4,Mairena del Alcor,Sevilla,Andalucía,161704.07,1320.0,0.49,0.51,0.19,0.65,0.17,0.2,0.48,0.14,0.19,8163.1,22435.0,0.99,0.01,615.0,0.8
5092,1_41_58_2_5,Mairena del Alcor,Sevilla,Andalucía,187915.54,1705.0,0.57,0.43,0.24,0.75,0.01,0.02,0.62,0.12,0.24,9073.2,24024.0,0.97,0.03,855.0,0.61
5093,1_41_58_3_1,Mairena del Alcor,Sevilla,Andalucía,121325.09,855.0,0.43,0.57,0.24,0.7,0.06,0.12,0.56,0.09,0.24,7047.2,23362.0,1.0,0.0,330.0,0.92
5094,1_41_60_1_3,Marchena,Sevilla,Andalucía,449828.15,2050.0,0.46,0.54,0.11,0.64,0.26,0.27,0.56,0.07,0.11,4557.3,22631.0,0.97,0.03,900.0,0.91
5095,1_41_58_3_2,Mairena del Alcor,Sevilla,Andalucía,66737213.08,2455.0,0.51,0.49,0.18,0.69,0.13,0.08,0.5,0.25,0.18,36.8,26561.0,0.95,0.05,1855.0,0.43
5096,1_41_58_3_3,Mairena del Alcor,Sevilla,Andalucía,148683.93,1285.0,0.55,0.46,0.18,0.69,0.13,0.09,0.53,0.21,0.18,8642.5,31802.0,0.95,0.05,410.0,1.0
5097,1_41_58_3_4,Mairena del Alcor,Sevilla,Andalucía,418271.15,1890.0,0.51,0.49,0.21,0.69,0.1,0.21,0.46,0.11,0.21,4518.6,23763.0,0.99,0.01,625.0,0.88
5098,1_41_58_3_5,Mairena del Alcor,Sevilla,Andalucía,209833.29,1990.0,0.46,0.54,0.22,0.7,0.08,0.11,0.59,0.09,0.22,9483.7,25064.0,0.93,0.07,700.0,0.99
5099,1_41_58_3_6,Mairena del Alcor,Sevilla,Andalucía,452174.44,1170.0,0.5,0.5,0.24,0.75,0.0,0.06,0.65,0.05,0.24,2587.5,20877.0,0.97,0.03,485.0,0.88
5100,1_41_59_1_1,Mairena del Aljarafe,Sevilla,Andalucía,181531.17,1890.0,0.44,0.56,0.18,0.68,0.14,0.15,0.58,0.1,0.18,10411.4,25059.0,1.0,0.0,845.0,0.71
5101,1_41_59_1_2,Mairena del Aljarafe,Sevilla,Andalucía,460214.09,1730.0,0.57,0.43,0.28,0.72,0.0,0.01,0.42,0.28,0.28,3759.1,32075.0,0.94,0.06,725.0,0.79
5102,1_41_59_1_3,Mairena del Aljarafe,Sevilla,Andalucía,157435.67,1420.0,0.54,0.46,0.2,0.68,0.12,0.05,0.6,0.16,0.2,9019.6,32489.0,1.0,0.0,490.0,0.94
5103,1_41_59_1_4,Mairena del Aljarafe,Sevilla,Andalucía,118943.57,1770.0,0.45,0.55,0.18,0.63,0.18,0.07,0.61,0.14,0.18,14881.0,28174.0,1.0,0.01,680.0,1.0
5104,1_41_59_1_5,Mairena del Aljarafe,Sevilla,Andalucía,61823.09,1905.0,0.48,0.52,0.09,0.8,0.12,0.06,0.74,0.12,0.09,30813.7,21442.0,0.88,0.12,715.0,0.92
