,Postal_Code,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
230,29017,Málaga,Málaga,Andalucia,9315185.518647484,42355.0,0.46,0.54,0.15,0.69,0.15,0.09,0.48,0.28,0.15,13002.18,35233.27,0.93,0.07,19535.0,0.79
231,29591,Málaga,Málaga,Andalucia,14113064.509526158,9065.0,0.51,0.49,0.15,0.67,0.18,0.23,0.55,0.07,0.15,188.3,19857.4,0.89,0.11,4320.0,0.81
232,29197,Málaga,Málaga,Andalucia,20786514.66400963,18520.0,0.53,0.47,0.19,0.66,0.15,0.16,0.58,0.08,0.19,115.01,21743.44,0.96,0.04,8800.0,0.77
233,29018,Málaga,Málaga,Andalucia,10715081.732326502,42065.0,0.47,0.53,0.18,0.69,0.12,0.07,0.46,0.29,0.18,12636.57,40513.11,0.92,0.07,16645.0,0.84
234,29720,Málaga,Málaga,Andalucia,257905.3903533837,20835.0,0.51,0.49,0.17,0.72,0.11,0.07,0.5,0.26,0.17,3693.78,29872.21,0.91,0.09,12215.0,0.67
235,29601,Marbella,Málaga,Andalucia,1738461.2712505674,49525.0,0.48,0.52,0.14,0.68,0.17,0.1,0.62,0.14,0.14,23235.71,26233.83,0.82,0.18,26330.0,0.79
236,29660,Marbella,Málaga,Andalucia,18595918.85796095,25215.0,0.5,0.49,0.2,0.68,0.11,0.06,0.52,0.21,0.2,2006.47,22942.33,0.73,0.27,23380.0,0.47
237,23194,Jaén,Jaén,Andalucia,14967754.802827025,4925.0,0.51,0.49,0.17,0.66,0.17,0.14,0.56,0.13,0.17,28.3,26076.5,1.0,0.0,3050.0,0.56
238,29602,Marbella,Málaga,Andalucia,28663748.110448744,32725.0,0.49,0.51,0.15,0.7,0.15,0.05,0.59,0.2,0.16,4663.12,27977.35,0.72,0.28,28700.0,0.58
239,29350,Arriate,Málaga,Andalucia,8274896.089998443,8815.0,0.5,0.5,0.16,0.66,0.18,0.19,0.56,0.1,0.16,216.26,22004.0,0.94,0.06,5025.0,0.65
240,29380,Cortes de la Frontera,Málaga,Andalucia,149815527.54595602,14820.0,0.52,0.49,0.14,0.63,0.23,0.21,0.58,0.07,0.14,16.97,18131.75,0.94,0.07,10090.0,0.56
241,29603,Marbella,Málaga,Andalucia,17251970.859288495,36385.0,0.5,0.5,0.17,0.69,0.14,0.1,0.62,0.1,0.18,14891.7,25024.22,0.81,0.19,19800.0,0.78
242,29567,Alozaina,Málaga,Andalucia,33850451.43078415,10630.0,0.51,0.49,0.14,0.67,0.19,0.17,0.6,0.09,0.14,529.6,18564.67,0.87,0.13,6565.0,0.61
243,29197,Totalán,Málaga,Andalucia,9203407.785082156,18520.0,0.53,0.47,0.19,0.66,0.15,0.16,0.58,0.08,0.19,115.01,21743.44,0.96,0.04,8800.0,0.77
244,29150,Almogía,Málaga,Andalucia,115408631.11238392,10130.0,0.53,0.46,0.13,0.64,0.24,0.22,0.56,0.09,0.13,810.1,17946.25,0.83,0.17,5225.0,0.74
245,29566,Casarabonela,Málaga,Andalucia,113708487.86493494,17135.0,0.52,0.48,0.14,0.67,0.19,0.18,0.6,0.08,0.14,509.42,18222.33,0.89,0.11,9950.0,0.66
246,29109,Tolox,Málaga,Andalucia,92829243.47922076,13200.0,0.52,0.48,0.14,0.63,0.24,0.21,0.58,0.07,0.14,44.89,19332.22,0.9,0.1,8830.0,0.57
247,29420,El Burgo,Málaga,Andalucia,118343486.75813508,7525.0,0.5,0.5,0.13,0.64,0.24,0.22,0.58,0.06,0.13,14.94,19002.29,0.94,0.06,4875.0,0.63
248,29100,Coín,Málaga,Andalucia,127342553.58120534,37810.0,0.51,0.49,0.18,0.65,0.17,0.13,0.59,0.1,0.18,9252.88,18658.05,0.82,0.19,20430.0,0.7
249,29180,Riogordo,Málaga,Andalucia,39965442.82047103,12090.0,0.52,0.48,0.12,0.64,0.24,0.25,0.54,0.09,0.12,56.64,16596.67,0.83,0.17,6975.0,0.71
250,23360,La Puerta de Segura,Jaén,Andalucia,23292036.44894443,4840.0,0.52,0.49,0.11,0.64,0.25,0.27,0.55,0.06,0.11,1389.5,17249.2,0.96,0.04,3630.0,0.57
251,29711,Alcaucín,Málaga,Andalucia,37519612.02850681,7325.0,0.55,0.45,0.12,0.62,0.25,0.22,0.54,0.11,0.12,32.5,16388.8,0.76,0.24,4515.0,0.7
252,29690,Casares,Málaga,Andalucia,132491330.22233012,12470.0,0.52,0.48,0.14,0.64,0.23,0.21,0.57,0.08,0.14,83.52,18718.38,0.78,0.22,10550.0,0.57
253,29240,Valle de Abdalajís,Málaga,Andalucia,21168232.40889614,4570.0,0.52,0.48,0.09,0.59,0.32,0.24,0.53,0.12,0.11,1365.52,19268.0,0.92,0.08,2560.0,0.82
254,29593,Álora,Málaga,Andalucia,37880883.53723604,7490.0,0.5,0.5,0.13,0.64,0.24,0.19,0.55,0.13,0.13,29.87,18522.83,0.82,0.18,3900.0,0.73
255,23480,Quesada,Jaén,Andalucia,96139459.74364541,9330.0,0.51,0.49,0.14,0.59,0.28,0.32,0.48,0.06,0.14,3852.53,17817.4,0.99,0.01,5670.0,0.67
256,29493,Benadalid,Málaga,Andalucia,20678975.30358877,3110.0,0.51,0.49,0.11,0.64,0.25,0.25,0.58,0.06,0.11,15.67,15501.67,0.91,0.09,2815.0,0.47
257,29312,Villanueva del Rosario,Málaga,Andalucia,43937601.64160077,11235.0,0.51,0.49,0.12,0.65,0.23,0.23,0.56,0.08,0.14,126.96,19320.71,0.95,0.05,5640.0,0.74
258,29300,Archidona,Málaga,Andalucia,83465591.51226641,14355.0,0.51,0.49,0.15,0.64,0.21,0.22,0.55,0.08,0.15,2964.61,20286.11,0.88,0.12,6940.0,0.74
259,29718,Benamargosa,Málaga,Andalucia,12112580.731819695,49945.0,0.52,0.48,0.12,0.64,0.24,0.23,0.58,0.06,0.12,82.33,16070.82,0.86,0.14,31815.0,0.67
260,29692,Manilva,Málaga,Andalucia,26756057.432535,28490.0,0.52,0.48,0.18,0.69,0.13,0.15,0.58,0.09,0.18,1166.75,20134.42,0.74,0.26,23565.0,0.6
261,23339,Villanueva del Arzobispo,Jaén,Andalucia,11589609.298065452,2915.0,0.51,0.49,0.13,0.65,0.22,0.24,0.57,0.06,0.13,11.6,17590.33,0.94,0.06,2115.0,0.56
262,29160,Casabermeja,Málaga,Andalucia,67255190.80892141,10875.0,0.51,0.48,0.11,0.65,0.24,0.27,0.51,0.09,0.12,597.38,20036.62,0.88,0.11,5030.0,0.84
263,29788,Frigiliana,Málaga,Andalucia,40352646.20648333,12815.0,0.51,0.49,0.14,0.63,0.23,0.13,0.6,0.13,0.14,129.12,17456.5,0.66,0.34,11945.0,0.48
264,29195,Comares,Málaga,Andalucia,25490181.64098569,6515.0,0.53,0.47,0.15,0.63,0.21,0.2,0.57,0.07,0.15,36.14,16915.0,0.82,0.18,3515.0,0.72
265,29716,Canillas de Aceituno,Málaga,Andalucia,27364428.335426103,11025.0,0.53,0.47,0.11,0.62,0.28,0.21,0.59,0.09,0.11,41.91,15588.57,0.72,0.28,6750.0,0.71
266,29491,Benalauría,Málaga,Andalucia,19752142.087090313,6805.0,0.51,0.49,0.13,0.64,0.23,0.24,0.56,0.06,0.13,25.58,15525.0,0.94,0.06,5185.0,0.54
267,29328,Sierra de Yeguas,Málaga,Andalucia,49351442.2409024,8675.0,0.51,0.49,0.15,0.65,0.19,0.22,0.56,0.06,0.15,32.58,20324.8,0.95,0.05,4455.0,0.77
