,Name,Province,Municipality,Date,SH2,SO2,NO2,CO,PART,O3,geometry
33,E6: ESTACION DE FFCC S. ROQUE,CADIZ,SAN ROQUE,2015-09-01,,5.783333333333334,11.561538461538463,,20.293548387096774,,POINT (-5.430308024723687 36.2119764761002)
34,E7:EL ZABAL,CADIZ,LINEA DE LA CONCEPCION (LA),2015-09-01,,11.42258064516129,15.254838709677419,,27.886363636363637,,POINT (-5.341824186312244 36.17288547216037)
35,ECONOMATO,CADIZ,SAN ROQUE,2015-09-01,,20.164516129032258,14.070967741935485,,,,POINT (-5.380810475453659 36.18621015013454)
36,E. DE HOSTELERIA,CADIZ,SAN ROQUE,2015-09-01,,10.035483870967743,4.190322580645161,308.2838709677419,,,POINT (-5.383685321785163 36.20388782686938)
37,EL ARENOSILLO,HUELVA,MOGUER,2015-09-01,,,4.0,,,78.0225806451613,POINT (-6.734148997051733 37.10399260231942)
38,EL ATABAL,MALAGA,MALAGA,2015-09-01,,11.751612903225805,17.803225806451614,167.36774193548388,16.696296296296296,61.16774193548388,POINT (-4.465558747605344 36.72954853619139)
39,EL BOTICARIO,ALMERIA,ALMERIA,2015-09-01,,,11.374193548387096,,,75.92903225806454,POINT (-2.39057251637134 36.86496130832632)
40,EL EJIDO,ALMERIA,EJIDO (EL),2015-09-01,,11.0258064516129,12.961290322580647,431.9935483870967,22.203225806451616,70.6032258064516,POINT (-2.81089219118489 36.76961955872488)
41,EL VACAR,CORDOBA,VILLAVICIOSA DE CORDOBA,2015-09-01,,,,,,,POINT (-5.015007674821648 38.07616770623098)
42,ESPIEL,CORDOBA,ESPIEL,2015-09-01,,,,,,,POINT (-5.01959042844463 38.18973952866603)
43,FERNAN PEREZ,ALMERIA,NIJAR,2015-09-01,,6.446666666666666,6.886666666666667,,18.580645161290327,62.52903225806452,POINT (-2.046826731533552 36.89499849532665)
44,GRANADA-NORTE,GRANADA,GRANADA,2015-09-01,,7.93548387096774,41.9,508.61290322580646,24.12580645161291,,POINT (-3.612476921114971 37.19618880397014)
45,GUADARRANQUE,CADIZ,SAN ROQUE,2015-09-01,3.0999999999999996,12.474193548387099,25.396774193548385,586.8387096774194,,59.86774193548386,POINT (-5.411469551940724 36.18215519965826)
46,JEDULA,CADIZ,ARCOS DE LA FRONTERA,2015-09-01,,,,,,,POINT (-5.926313830516518 36.72351956077823)
47,JEREZ-CHAPIN,CADIZ,JEREZ DE LA FRONTERA,2015-09-01,,4.388888888888888,15.683870967741935,196.52903225806452,22.135483870967743,69.71612903225805,POINT (-6.117291828616885 36.68856272137957)
48,LA GRANATILLA,ALMERIA,NIJAR,2015-09-01,,3.674193548387097,6.99032258064516,,22.751612903225805,87.40645161290321,POINT (-2.167245439427744 36.94973829659759)
49,LA JOYA,ALMERIA,NIJAR,2015-09-01,,3.0999999999999996,6.4222222222222225,401.7692307692308,,83.18148148148148,POINT (-1.961496869137358 36.95001553972708)
50,LA LINEA,CADIZ,LINEA DE LA CONCEPCION (LA),2015-09-01,,8.883870967741935,27.709677419354843,,34.02580645161291,65.34193548387096,POINT (-5.348332340408881 36.1593054765342)
51,LA ORDEN,HUELVA,HUELVA,2015-09-01,4.509677419354837,10.283870967741935,14.354838709677418,,29.7090909090909,74.73870967741938,POINT (-6.937838933330299 37.27967808553274)
52,LA RABIDA,HUELVA,PALOS DE LA FRONTERA,2015-09-01,,2.0290322580645164,12.674193548387096,,24.654838709677417,65.01612903225806,POINT (-6.921076520891956 37.20011913012974)
53,LAS FUENTEZUELAS,JAEN,JAEN,2015-09-01,,6.038709677419356,10.551724137931036,84.93548387096777,,84.06774193548387,POINT (-3.810515401897469 37.78456830550369)
54,LEPANTO,CORDOBA,CORDOBA,2015-09-01,,5.287096774193548,18.409677419354836,307.46774193548373,21.98666666666667,65.51,POINT (-4.762233174841711 37.89258760429585)
55,LLANO DE DON ANTONIO,ALMERIA,CARBONERAS,2015-09-01,,3.36551724137931,8.094117647058823,207.78928571428565,27.275862068965512,,POINT (-1.934309664357113 37.00468548176199)
56,LOS BARRIOS,CADIZ,BARRIOS (LOS),2015-09-01,,8.187096774193547,22.486666666666665,,,63.41290322580645,POINT (-5.480866966923607 36.17541542593411)
57,LOS ROSALES,HUELVA,HUELVA,2015-09-01,,5.967741935483871,17.790322580645164,509.45333333333326,28.96451612903225,,POINT (-6.925233920194391 37.26023075346434)
58,MADREVIEJA,CADIZ,SAN ROQUE,2015-09-01,,10.583870967741937,16.193548387096772,,,,POINT (-5.404702685004604 36.20442701899566)
59,MALAGA-ESTE,MALAGA,MALAGA,2015-09-01,,,,,,,POINT (-4.355695059954433 36.72609063699967)
60,MARBELLA,MALAGA,MARBELLA,2015-09-01,,,,,,,POINT (-4.979640189255631 36.49801946301904)
61,MARBELLA ARCO,MALAGA,MARBELLA,2015-09-01,,4.061290322580646,26.767741935483862,571.6483870967741,29.06451612903225,56.15483870967743,POINT (-4.864597933081661 36.50890540907309)
62,MARISMAS DEL TITAN,HUELVA,HUELVA,2015-09-01,,9.416129032258064,12.374193548387096,660.7806451612901,,,POINT (-6.942212305153909 37.25257851101014)
63,MATALASCAÑAS,HUELVA,ALMONTE,2015-09-01,,4.932258064516129,3.9483870967741934,,14.190322580645162,71.19354838709677,POINT (-6.569595698448131 37.01649181400418)
64,MAZAGON,HUELVA,MOGUER,2015-09-01,,6.974193548387096,6.175000000000001,565.9677419354839,16.46129032258065,77.43548387096774,POINT (-6.807392785230685 37.13375712400517)
65,MEDITERRANEO,ALMERIA,ALMERIA,2015-09-01,,8.929032258064517,20.803225806451607,423.4741935483871,28.325806451612902,69.08709677419355,POINT (-2.446615470988551 36.84138179195396)
66,MOGUER,HUELVA,MOGUER,2015-09-01,,5.058064516129033,12.720689655172412,,40.34516129032258,65.13225806451612,POINT (-6.833803970739923 37.28161043356899)
67,MOJACAR,ALMERIA,MOJACAR,2015-09-01,,3.264516129032258,7.0290322580645155,,24.432258064516137,82.40967741935484,POINT (-1.839403002018332 37.13864106657)
68,MOTRIL,GRANADA,MOTRIL,2015-09-01,,6.451612903225806,12.938709677419356,463.3225806451613,23.093548387096778,64.9774193548387,POINT (-3.517505650125557 36.74281450053311)
69,NIEBLA,HUELVA,NIEBLA,2015-09-01,,6.387096774193549,10.854838709677422,,25.479999999999997,,POINT (-6.676711000442729 37.36064963431706)
70,NIJAR,ALMERIA,NIJAR,2015-09-01,,,,,,,POINT (-2.206778759069447 36.96580590066471)
71,OBEJO,CORDOBA,OBEJO,2015-09-01,,15.209677419354836,5.2612903225806456,,14.935483870967744,,POINT (-4.798487686803214 38.13085614914694)
72,PALACIO DE CONGRESOS,GRANADA,GRANADA,2015-09-01,,9.993333333333334,29.473333333333326,420.82666666666665,25.459999999999997,58.17666666666667,POINT (-3.600044619755812 37.16560072404534)
73,PALOMARES,ALMERIA,CUEVAS DEL ALMANZORA,2015-09-01,,7.612903225806452,16.345161290322583,,40.85,,POINT (-1.78174747808588 37.25504726270489)
74,PALOS,HUELVA,PALOS DE LA FRONTERA,2015-09-01,4.974193548387096,3.9903225806451617,11.719354838709679,,40.96785714285714,,POINT (-6.888477285191335 37.21929165492221)
75,PASEOS UNIVERSITARIOS,GRANADA,GRANADA,2015-09-01,,,,,,,POINT (-3.611315071913136 37.18273657119414)
76,POBLADO,CORDOBA,ESPIEL,2015-09-01,,13.375862068965514,5.713793103448275,,15.81935483870968,,POINT (-4.926776776762442 38.10815041185169)
77,POZO DULCE,HUELVA,HUELVA,2015-09-01,3.1741935483870964,9.596774193548388,16.21935483870968,595.7774193548388,30.7483870967742,,POINT (-6.935144188656233 37.25342402085498)
78,PRADO REY,CADIZ,PRADO DEL REY,2015-09-01,,7.553571428571429,4.392592592592593,246.75862068965517,24.95,79.17142857142856,POINT (-5.531675992091328 36.79446598532836)
79,PRINCIPES,SEVILLA,SEVILLA,2015-09-01,,10.75483870967742,23.125806451612906,277.5967741935484,29.099999999999998,,POINT (-6.005602265467727 37.37522946529075)
80,PUENTE MAYORGA,CADIZ,SAN ROQUE,2015-09-01,4.264516129032257,12.154838709677419,,,,,POINT (-5.382402879631801 36.18043191029771)
81,PUERTO DE ALMERIA,ALMERIA,ALMERIA,2015-09-01,,,,,,,POINT (-2.479552547275992 36.83659868549702)
82,PUNTA UMBRIA,HUELVA,PUNTA UMBRIA,2015-09-01,,13.66774193548387,11.129032258064514,,31.619354838709675,72.24193548387099,POINT (-6.964481343067833 37.18564335524399)
83,PZA. DEL CASTILLO,ALMERIA,CARBONERAS,2015-09-01,,8.8,9.86774193548387,,30.69375,,POINT (-1.895332449367144 36.99680598073193)
84,RANILLA,SEVILLA,SEVILLA,2015-09-01,,6.174193548387096,27.132258064516133,163.5096774193548,,,POINT (-5.95958956706311 37.3842309189668)
85,RIO SAN PEDRO,CADIZ,PUERTO REAL,2015-09-01,,,15.929032258064519,,31.35161290322581,65.5516129032258,POINT (-6.225133829734586 36.52281772376452)
86,RODALQUILAR,ALMERIA,NIJAR,2015-09-01,,3.238709677419355,8.848387096774195,,21.835483870967742,86.49354838709678,POINT (-2.038180455381593 36.84751947865993)
87,ROMERALEJO,HUELVA,HUELVA,2015-09-01,,5.661290322580645,,,17.396774193548385,,POINT (-6.919048685405994 37.26731545816317)
88,RONDA DEL VALLE,JAEN,JAEN,2015-09-01,,3.9193548387096775,21.706451612903226,287.3806451612904,20.312903225806455,72.49032258064516,POINT (-3.78150323838333 37.78232466978504)
89,SAN FERNANDO,CADIZ,SAN FERNANDO,2015-09-01,,11.76774193548387,14.92222222222222,395.8032258064516,19.448387096774194,68.14193548387098,POINT (-6.203039093633443 36.46051521730445)
90,SAN JERONIMO,SEVILLA,SEVILLA,2015-09-01,,,20.6304347826087,,,57.22903225806452,POINT (-5.980385255696033 37.42987594392861)
91,SAN JUAN DEL PUERTO,HUELVA,SAN JUAN DEL PUERTO,2015-09-01,2.5709677419354846,12.154838709677417,8.17741935483871,,22.96129032258065,,POINT (-6.844952686373158 37.31538315053815)
92,SANTA CLARA,SEVILLA,SEVILLA,2015-09-01,,,14.880645161290321,508.97096774193545,23.17096774193548,60.46451612903226,POINT (-5.951480547018437 37.39814994346559)
