,Name,Province,Date,ALNUS,ALTERNARIA,ARTEMISA,BETULA,CAREX,CASTANEA,CUPRESACEA,FRAXINUS,GRAMINEAS,MERCURIALIS,MORUS,OLEA,PALMACEAS,PINUS,PLANTAGO,PLATANUS,POPULUS,AMARANTACEAS,QUERCUS,RUMEX,ULMUS,URTICACEAS
105,Macarena-Hospital,Sevilla,2010-04-17,0,0,0,0,0,0,11,5,11,0,0,5,0,0,0,5,0,0,5,5,0,0
106,Macarena-Hospital,Sevilla,2010-04-18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,11,0,0,0
107,Macarena-Hospital,Sevilla,2010-04-19,0,0,0,0,0,0,5,16,22,0,11,0,0,11,11,16,0,0,26,0,0,11
108,Macarena-Hospital,Sevilla,2010-04-20,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,16,0,0,48,0,0,0
109,Macarena-Hospital,Sevilla,2010-04-21,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,16,0,0,0
110,Macarena-Hospital,Sevilla,2010-04-22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0
111,Macarena-Hospital,Sevilla,2010-04-23,0,0,0,0,0,0,0,0,11,0,0,0,0,11,5,22,0,0,5,0,0,0
112,Macarena-Hospital,Sevilla,2010-04-24,0,0,0,0,0,0,5,11,22,0,5,0,0,22,0,38,0,5,36,0,0,11
113,Macarena-Hospital,Sevilla,2010-04-25,0,0,0,0,0,0,5,5,16,0,5,16,0,11,16,16,5,11,48,0,0,16
114,Macarena-Hospital,Sevilla,2010-04-26,0,0,0,0,0,0,0,11,66,0,11,11,0,22,16,22,11,0,164,0,0,0
115,Macarena-Hospital,Sevilla,2010-04-27,0,0,0,0,0,0,0,0,59,0,0,32,0,16,11,11,0,11,108,11,0,11
116,Macarena-Hospital,Sevilla,2010-04-28,0,0,0,0,0,0,5,0,81,0,0,16,0,11,5,5,0,5,132,5,0,5
117,Macarena-Hospital,Sevilla,2010-04-29,0,0,0,0,0,0,0,11,92,0,0,132,0,0,16,0,0,16,158,0,0,22
118,Macarena-Hospital,Sevilla,2010-04-30,0,0,0,0,0,0,5,11,103,0,0,216,0,22,11,0,0,11,216,0,0,16
119,Macarena-Hospital,Sevilla,2010-05-01,0,0,0,0,0,0,0,0,92,0,0,286,0,54,22,5,0,27,248,0,0,32
120,Macarena-Hospital,Sevilla,2010-05-02,0,0,0,0,0,0,0,0,162,0,0,390,0,59,27,5,0,22,262,0,0,16
121,Macarena-Hospital,Sevilla,2010-05-03,0,0,0,0,0,0,0,0,124,0,0,432,0,27,16,11,0,16,146,11,0,16
122,Macarena-Hospital,Sevilla,2010-05-04,0,0,0,0,0,0,0,0,221,0,0,378,0,70,22,5,0,11,162,16,0,22
123,Macarena-Hospital,Sevilla,2010-05-05,0,0,0,0,0,0,0,0,325,0,0,475,0,22,11,5,0,11,151,5,0,27
124,Macarena-Hospital,Sevilla,2010-05-06,0,0,0,0,0,0,0,0,167,0,0,496,0,27,0,0,0,5,108,0,0,11
125,Macarena-Hospital,Sevilla,2010-05-07,0,0,0,0,0,0,0,0,430,0,0,545,0,22,16,0,0,16,160,0,0,16
126,Macarena-Hospital,Sevilla,2010-05-08,0,0,0,0,0,0,0,0,152,0,0,240,0,38,22,0,0,11,178,0,0,22
127,Macarena-Hospital,Sevilla,2010-05-09,0,0,0,0,0,0,5,0,62,0,0,36,0,16,5,0,0,5,51,0,0,16
128,Macarena-Hospital,Sevilla,2010-05-10,0,0,0,0,0,0,0,0,126,0,0,156,0,11,0,0,0,5,173,0,0,5
129,Macarena-Hospital,Sevilla,2010-05-11,0,0,0,0,0,0,5,0,16,0,0,16,0,5,11,0,0,5,16,0,0,11
130,Macarena-Hospital,Sevilla,2010-05-12,0,0,0,0,0,0,0,0,86,0,0,108,0,5,5,0,0,0,38,0,0,0
131,Macarena-Hospital,Sevilla,2010-05-13,0,0,0,0,0,0,0,0,49,0,0,58,0,0,0,0,0,0,34,0,0,0
132,Macarena-Hospital,Sevilla,2010-05-14,0,0,0,0,0,0,0,0,54,0,0,49,0,5,0,0,0,0,59,0,0,5
133,Macarena-Hospital,Sevilla,2010-05-15,0,0,0,0,0,0,0,0,94,0,0,162,0,11,0,0,0,5,65,0,0,11
134,Macarena-Hospital,Sevilla,2010-05-16,0,0,0,0,0,0,0,0,232,0,0,320,0,22,11,0,0,16,103,0,0,0
135,Macarena-Hospital,Sevilla,2010-05-17,0,0,0,0,0,0,5,0,243,0,0,502,0,16,11,0,0,11,108,0,0,11
136,Macarena-Hospital,Sevilla,2010-05-18,0,0,0,0,0,0,11,0,325,0,0,762,0,11,5,0,0,0,132,0,0,5
137,Macarena-Hospital,Sevilla,2010-05-19,0,0,0,0,0,0,5,0,430,0,0,1156,0,22,16,0,0,16,121,0,0,16
138,Macarena-Hospital,Sevilla,2010-05-20,0,0,0,0,0,0,11,0,670,0,0,1280,0,27,22,0,0,0,89,0,0,11
139,Macarena-Hospital,Sevilla,2010-05-21,0,0,0,0,0,0,11,0,911,0,0,1630,0,26,11,0,0,11,81,0,0,11
140,Macarena-Hospital,Sevilla,2010-05-22,0,0,0,0,0,0,11,0,367,0,0,1053,0,11,0,0,0,32,108,0,0,5
141,Macarena-Hospital,Sevilla,2010-05-23,0,0,0,0,0,0,0,0,490,0,0,545,0,16,0,0,0,5,38,0,0,11
142,Macarena-Hospital,Sevilla,2010-05-24,0,0,0,0,0,0,5,0,502,0,0,496,0,11,0,0,0,5,59,0,0,0
143,Macarena-Hospital,Sevilla,2010-05-25,0,0,0,0,0,0,16,0,507,0,0,432,0,26,22,0,0,16,65,0,0,11
144,Macarena-Hospital,Sevilla,2010-05-26,0,0,0,0,0,0,11,0,243,0,0,221,0,21,11,0,0,11,108,0,0,16
145,Macarena-Hospital,Sevilla,2010-05-27,0,0,0,0,0,0,11,0,232,0,0,224,0,16,16,0,0,5,43,0,0,5
146,Macarena-Hospital,Sevilla,2010-05-28,0,0,0,0,0,0,5,0,130,0,0,224,0,11,16,0,0,5,22,0,0,5
147,Macarena-Hospital,Sevilla,2010-05-29,0,0,0,0,0,0,0,0,178,0,0,162,0,5,16,0,0,5,22,0,0,5
148,Macarena-Hospital,Sevilla,2010-05-30,0,0,0,0,0,0,5,0,238,0,0,132,0,16,11,0,0,11,16,0,0,5
149,Macarena-Hospital,Sevilla,2010-05-31,0,0,0,0,0,0,0,0,119,0,0,49,0,0,11,0,0,5,11,0,0,0
150,Macarena-Hospital,Sevilla,2010-06-01,0,0,0,0,0,0,0,0,94,0,0,43,0,0,16,0,0,0,11,0,0,0
151,Macarena-Hospital,Sevilla,2010-06-02,0,0,0,0,0,0,11,0,97,0,0,70,0,16,11,0,0,5,16,0,0,5
152,Macarena-Hospital,Sevilla,2010-06-03,0,0,0,0,0,0,5,0,92,0,0,81,0,22,16,0,0,0,32,0,0,11
153,Macarena-Hospital,Sevilla,2010-06-04,0,0,0,0,0,0,0,0,54,0,0,76,0,11,22,0,0,11,16,0,0,11
154,Macarena-Hospital,Sevilla,2010-06-05,0,0,0,0,0,0,5,0,49,0,0,59,0,16,5,0,0,5,0,0,0,16
155,Macarena-Hospital,Sevilla,2010-06-06,0,0,0,0,0,0,0,0,32,0,0,70,0,16,11,0,0,5,16,0,0,5
156,Macarena-Hospital,Sevilla,2010-06-07,0,0,0,0,0,0,5,0,27,0,0,43,0,5,0,0,0,11,11,0,0,5
157,Macarena-Hospital,Sevilla,2010-06-08,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0
158,Macarena-Hospital,Sevilla,2010-06-09,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,5,0,0,0
159,Macarena-Hospital,Sevilla,2010-06-10,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0
160,Macarena-Hospital,Sevilla,2010-06-11,0,0,0,0,0,0,11,0,16,0,0,16,0,11,11,0,0,0,11,0,0,0
161,Macarena-Hospital,Sevilla,2010-06-12,0,0,0,0,0,0,0,0,32,0,0,11,0,5,0,0,0,5,0,0,0,5
162,Macarena-Hospital,Sevilla,2010-06-13,0,0,0,0,0,0,5,0,27,0,0,16,0,5,5,0,0,0,0,0,0,0
163,Macarena-Hospital,Sevilla,2010-06-14,0,0,0,0,0,0,0,0,16,0,0,16,0,0,5,0,0,0,0,0,0,5
164,Macarena-Hospital,Sevilla,2010-06-15,0,0,0,0,0,0,0,0,16,0,0,11,0,0,5,0,0,0,0,0,0,5
165,Macarena-Hospital,Sevilla,2010-06-16,0,0,0,0,0,0,0,0,27,0,0,32,0,32,16,0,0,11,16,0,0,11
166,Macarena-Hospital,Sevilla,2010-06-17,0,0,0,0,0,0,0,0,54,0,0,27,0,27,22,0,0,5,11,0,0,16
167,Macarena-Hospital,Sevilla,2010-06-18,0,0,0,0,0,0,0,0,65,0,0,43,0,16,11,0,0,5,22,0,0,5
168,Macarena-Hospital,Sevilla,2010-06-19,0,0,0,0,0,0,0,0,59,0,0,22,0,11,5,0,0,11,27,0,0,0
169,Macarena-Hospital,Sevilla,2010-06-20,0,0,0,0,0,0,0,0,49,0,0,11,0,27,16,0,0,5,11,0,0,0
170,Macarena-Hospital,Sevilla,2010-06-21,0,0,0,0,0,0,0,0,54,0,0,27,0,32,16,0,0,0,5,0,0,11
171,Macarena-Hospital,Sevilla,2010-06-22,0,0,0,0,0,0,0,0,38,0,0,22,0,11,11,0,0,5,5,0,0,11
172,Macarena-Hospital,Sevilla,2010-06-24,0,0,0,0,0,0,0,0,5,0,0,11,0,5,0,0,0,11,0,0,0,0
173,Macarena-Hospital,Sevilla,2010-06-25,0,0,0,0,0,0,5,0,27,0,0,5,0,0,0,0,0,5,0,0,0,0
174,Macarena-Hospital,Sevilla,2010-06-26,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,16,5,0,0,0
